ID,Name,Description
2,Second person pronoun,
12,First person inclusive pronoun,
13,First person exclusive pronoun,
1,First person pronoun,
12pl,First person inclusive plural pronoun,
2pl,Second person plural pronoun,
3anaanim,Third person animate anaphoric pronoun,
proxanim,Third person animate proximal demonstrative,
proxanimpl,Third person animate proximal plural demonstrative,
proxinan,Third person inanimate proximal demonstrative,
proxinanpl,Third person inanimate proximal plural demonstrative,
medinan,Third person inanimate medial demonstrative,
medinanpl,Third person inanimate medial plural demonstrative,
medanimpl,Third person animate medial demonstrative,
medanim,Third person animate medial plural demonstrative,
distinan,Third person inanimate distal demonstrative,
distinanpl,Third person inanimate distal plural demonstrative,
distanim,Third person animate distal demonstrative,
distanimpl,Third person animate distal plural demonstrative,
3anainan,Third person inanimate anaphoric pronoun,
3anainanpl,Third person inanimate anaphoric plural pronoun,
3anaanimpl,Third person animate anaphoric plural pronoun,
invisinan,Third person inanimate invisible demonstrative,
invisinanpl,Third person inanimate invisible plural demonstrative,
invisanim,Third person animate invisible demonstrative,
invisanimpl,Third person animate invisible plural demonstrative,
3anapl,Third person anaphoric plural pronoun,
3ana,Third person anaphoric pronoun,
