ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
aka-0-1,aka-0,1abs,,- - u + r ə,
aku-1-1,aku-1,1abs,,- w ɨ - - -,
apa-2-1,apa-2,1abs,,ɨ w ɨ - - -,
ara-3-1,ara-3,1abs,,- - u + r o,
bak-4-1,bak-4,1abs,,- - u + r ə,
car-5-1,car-5,1abs,,ə w ɨ - - -,
hix-6-1,hix-6,1abs,,- - u + r o,
ikp-7-1,ikp-7,1abs,,- - u + r o,
ing-8-1,ing-8,1abs,,- - u + r ə,
kar-9-1,kar-9,1abs,,a w u - - -,
kax-10-1,kax-10,1abs,,o w ɨ - - -,
mac-11-1,mac-11,1abs,,- - uu + r ɨ,
mak-12-1,mak-12,1abs,,e w ɨ - - -,
map-13-1,map-13,1abs,,- w ɨ + h ɨ,
map-14-1,map-14,1abs,,- - u + h ɨ,
pan-15-1,pan-15,1abs,,- j u - - -,
pem-17-1,pem-17,1abs,,- j uu + r ə,
pno-20-1,pno-20,1abs,,- - u + r ə,
pno-21-1,pno-21,1abs,,- w ɨ + h -,
tam-30-1,tam-30,1abs,,- - u + r e,
tri-31-1,tri-31,1abs,,- w ɨɨ - - -,
uxc-32-1,uxc-32,1abs,,- - u + ɣ e,
wai-33-1,wai-33,1abs,,o w ɨ - - -,
way-34-1,way-34,1abs,,ɨ w u - - -,
wmr-35-1,wmr-35,1abs,,a w ɨ - - -,
yab-36-1,yab-36,1abs,,- w ɨ + r ə,
yuk-37-1,yuk-37,1abs,,a w ɨ + r -,
aka-0_0,aka-0,1,1,- - u,
aka-0_1,aka-0,emp,2,r ə,
aku-1_0,aku-1,1,1,- w ɨ,
apa-2_0,apa-2,1,1,ɨ w ɨ,
ara-3_0,ara-3,1,1,- - u,
ara-3_1,ara-3,emp,2,r o,
bak-4_0,bak-4,1,1,- - u,
bak-4_1,bak-4,emp,2,r ə,
car-5_0,car-5,1,1,ə w ɨ,
hix-6_0,hix-6,1,1,- - u,
hix-6_1,hix-6,emp,2,r o,
ikp-7_0,ikp-7,1,1,- - u,
ikp-7_1,ikp-7,emp,2,r o,
ing-8_0,ing-8,1,1,- - u,
ing-8_1,ing-8,emp,2,r ə,
kar-9_0,kar-9,1,1,a w u,
kax-10_0,kax-10,1,1,o w ɨ,
mac-11_0,mac-11,1,1,- - uu,
mac-11_1,mac-11,emp,2,r ɨ,
mak-12_0,mak-12,1,1,e w ɨ,
map-13_0,map-13,1,1,- w ɨ,
map-13_1,map-13,hform,2,h ɨ,
map-14_0,map-14,1,1,- - u,
map-14_1,map-14,hform,2,h ɨ,
pan-15_0,pan-15,1,1,- j u,
PC-16_0,PC-16,1,1,ə w ɨ,
PC-16_1,PC-16,emp,2,r ə,
pem-17_0,pem-17,1,1,- j uu,
pem-17_1,pem-17,emp,2,r ə,
PMan-18_0,PMan-18,1,1,- w ɨ,
PMan-18_1,PMan-18,emp,2,r ə,
PMan-19_0,PMan-19,1,1,- w ɨ,
PMan-19_1,PMan-19,hform,2,h ɨ,
pno-20_0,pno-20,1,1,- - u,
pno-20_1,pno-20,emp,2,r ə,
pno-21_0,pno-21,1,1,- w ɨ,
pno-21_1,pno-21,hform,2,h -,
PPar-22_0,PPar-22,1,1,o w ɨ,
PPar-22_1,PPar-22,emp,2,r o,
PPek-23_0,PPek-23,1,1,- - u,
PPek-23_1,PPek-23,emp,2,r ə,
PPem-24_0,PPem-24,1,1,- j u,
PPem-24_1,PPem-24,emp,2,r ə,
PPP-25_0,PPP-25,1,1,- j u,
PPP-25_1,PPP-25,emp,2,r ə,
PTar-26_0,PTar-26,1,1,ə w ɨ,
PTir-27_0,PTir-27,1,1,- w ɨ,
PWai-28_0,PWai-28,1,1,o w ɨ,
PWai-28_1,PWai-28,emp,2,r o,
PXin-29_0,PXin-29,1,1,- - u,
PXin-29_1,PXin-29,emp,2,r o,
tam-30_0,tam-30,1,1,- - u,
tam-30_1,tam-30,emp,2,r e,
tri-31_0,tri-31,1,1,- w ɨɨ,
uxc-32_0,uxc-32,1,1,- - u,
uxc-32_1,uxc-32,emp,2,ɣ e,
wai-33_0,wai-33,1,1,o w ɨ,
way-34_0,way-34,1,1,ɨ w u,
wmr-35_0,wmr-35,1,1,a w ɨ,
yab-36_0,yab-36,1,1,- w ɨ,
yab-36_1,yab-36,emp,2,r ə,
yuk-37_0,yuk-37,1,1,a w ɨ,
yuk-37_1,yuk-37,emp,2,r -,
aka-38_0,aka-38,2,1,- a m ə,
aka-38_1,aka-38,emp,2,r ə,
aku-39_0,aku-39,2,1,- ə m ə,
apa-40_0,apa-40,2,1,- o m o,
apa-40_1,apa-40,emp,2,r o,
ara-41_0,ara-41,2,1,- o m o,
ara-41_1,ara-41,emp,2,r o,
bak-42_0,bak-42,2,1,- ə m ə,
car-43_0,car-43,2,1,- ə m ə,
car-43_1,car-43,emp,2,r ə,
hix-44_0,hix-44,2,1,- o m o,
hix-44_1,hix-44,emp,2,r o,
ikp-45_0,ikp-45,2,1,- o m -,
ikp-45_1,ikp-45,emp,2,r o,
ing-46_0,ing-46,2,1,- a m ə,
ing-46_1,ing-46,emp,2,r ə,
kar-47_0,kar-47,2,1,- a m o,
kar-47_1,kar-47,emp,2,r o,
kax-48_0,kax-48,2,1,- o m o,
kax-48_1,kax-48,emp,2,r o,
mac-49_0,mac-49,2,1,- a m ɨ,
mac-49_1,mac-49,emp,2,r ɨ,
mak-50_0,mak-50,2,1,- a m ə,
mak-50_1,mak-50,emp,2,r ə,
map-51_0,map-51,2,1,m ə - -,
map-51_1,map-51,emp,2,r ə,
pan-52_0,pan-52,2,1,- a m ə,
pan-52_1,pan-52,emp,2,n -,
PC-53_0,PC-53,2,1,- ə m ə,
PC-53_1,PC-53,emp,2,r ə,
pem-54_0,pem-54,2,1,- a m ə,
pem-54_1,pem-54,emp,2,r ə,
PMan-55_0,PMan-55,2,1,m ə - -,
PMan-55_1,PMan-55,emp,2,r ə,
pno-56_0,pno-56,2,1,m ə - -,
pno-56_1,pno-56,emp,2,r ə,
PPar-57_0,PPar-57,2,1,- o m o,
PPar-57_1,PPar-57,emp,2,r o,
PPek-58_0,PPek-58,2,1,- ə m ə,
PPek-58_1,PPek-58,emp,2,r ə,
PPem-59_0,PPem-59,2,1,- a m ə,
PPem-59_1,PPem-59,emp,2,r ə,
PPP-60_0,PPP-60,2,1,- a m ə,
PPP-60_1,PPP-60,emp,2,r ə,
PTar-61_0,PTar-61,2,1,- ə m ə,
PTar-61_1,PTar-61,emp,2,r ə,
PTir-62_0,PTir-62,2,1,- ə m ə,
PTir-63_0,PTir-63,2,1,- ə m ə,
PWai-64_0,PWai-64,2,1,- o m o,
PWai-64_1,PWai-64,emp,2,r o,
PXin-65_0,PXin-65,2,1,- o m o,
PXin-65_1,PXin-65,emp,2,r o,
tam-66_0,tam-66,2,1,- a m a,
tam-66_1,tam-66,emp,2,r e,
tri-67_0,tri-67,2,1,- ə m ə,
uxc-68_0,uxc-68,2,1,- ee - -,
uxc-68_1,uxc-68,emp,2,ɣ e,
wai-69_0,wai-69,2,1,- a m o,
wai-69_1,wai-69,emp,2,r o,
way-70_0,way-70,2,1,- ə m ə,
way-70_1,way-70,emp,2,r ə,
wmr-71_0,wmr-71,2,1,- a m ɨ,
wmr-71_1,wmr-71,emp,2,r ɨ,
yab-72_0,yab-72,2,1,m ə - -,
yab-72_1,yab-72,emp,2,r ə,
yuk-73_0,yuk-73,2,1,- a m o,
yuk-73_1,yuk-73,emp,2,r -,
aku-74_0,aku-74,1a2,1,k ɨ,
aku-74_1,aku-74,mform,2,m ə,
apa-75_0,apa-75,1a2,1,k ɨ,
apa-75_1,apa-75,mform,2,m o,
apa-75_2,apa-75,emp,3,r o,
ara-76_0,ara-76,uku,1,- u g o,
ara-76_1,ara-76,emp,2,r o,
car-77_0,car-77,1a2,1,k ɨ,
car-77_1,car-77,mform,2,m ə,
car-77_2,car-77,emp,3,r ə,
hix-78_0,hix-78,1a2,1,k ɨ,
hix-78_1,hix-78,wform,2,w -,
hix-78_2,hix-78,emp,3,r o,
ikp-79_0,ikp-79,uku,1,- u g -,
ikp-79_1,ikp-79,emp,2,r o,
kar-80_0,kar-80,1a2,1,k ɨ,
kar-80_1,kar-80,karform,2,ʔ k o,
kar-81_0,kar-81,1a2,1,k ɨ,
kar-81_1,kar-81,mform,2,m o,
kar-81_2,kar-81,emp,3,r o,
kax-82_0,kax-82,1a2,1,k u,
kax-82_1,kax-82,mform,2,m o,
kax-82_2,kax-82,emp,3,r o,
mac-83_0,mac-83,1,1,- - uu,
mac-83_1,mac-83,emp,2,r ɨ,
mac-83_2,mac-83,pl3,3,- - ʔ -,
mac-83_3,mac-83,pl1,4,k o n -,
mak-84_0,mak-84,1a2,1,k ɨ,
mak-84_1,mak-84,wform,2,w ɨ,
map-85_0,map-85,1a2ep,1,e ʔ - n ə,
pan-86_0,pan-86,1,1,- j u,
pan-86_1,pan-86,pl3,2,t o - -,
