ID,Description,Source,Form
1,First person,,*əwɨ
emp,Emphatic particle,,*rə
2,Second person,,*əmə
1a3,First person exclusive,,*apina
ti,Formative,,*ti
1a2,First person inclusive,,*kɨ
pl1,Plural marker,,*komo
uku,First person inclusive,,*uku
pl2,Plural marker,,*jamo
toto,3PL,,*toto
aanim,Third person anaphoric,,*inərə
ainan,"Third person anaphoric, inanimate",,*irə
dinan,Inanimate distal demonstrative,,*mənɨ
panim,Animate proximal demonstrative,,*mətjə
danim,Animate distal demonstrative,,*məkɨ
minan,Inanimate medial demonstrative,,*mərə
pinan1,Inanimate proximal demonstrative 1,,*(tj)ərə
pinan2,Inanimate proximal demonstrative 2,,*(tj)ənɨ
pl4,Plural marker,,*ʔne
pl3,Plural marker,,*tomo
wform,Formative,,*wɨ
hform,Formative,,*hɨ
mform,Formative,,*mə
1a2ep,Only in Yukpan,,*epɨ
xinsg,Possibly a reflex of EMP?,,*n
pempl,Combined with reflex of *komo,,*ʔno
karform,Formative,,*ʔko
1abs,First person,,*-
2abs,Second person,,*-
1a2cop,Originally an infinitive of the copula.,,*eti-nə
n13,Added to the 1+3 pronoun in [lg](kar) and [lg](yuk).,,*n
3aabs,Third person anaphoric,,*inərə
3iabs,"Third person anaphoric, inanimate",,*irə
