ID,Language_ID,Form,Segments,Comment,Source,Parameter_ID
aka-0,aka,urə,u + r ə,,stegeman2014akawaio[173];akawaiocaesar2003[106],1
aku-1,aku,wɨ,w ɨ,,meira1998proto[159],1
apa-2,apa,ɨwɨ,ɨ w ɨ,,koehn1986apalai[95],1
ara-3,ara,uro,u + r o,,desouza2010arara[87],1
bak-4,bak,urə,u + r ə,,meira2005southern[180],1
car-5,car,əwɨ,ə w ɨ,,robayo2000avance[174],1
hix-6,hix,uro,u + r o,,hixkaryanaderby1985[7],1
ikp-7,ikp,uro,u + r o,,ikpengpacheco2001[119],1
ing-8,ing,urə,u + r ə,,cruz2005fonologia[162],1
kar-9,kar,awu,a w u,,courtz2008carib[52],1
kax-10,kax,owɨ,o w ɨ,,schuring2018kaxuyana[94],1
mac-11,mac,uurɨ,uu + r ɨ,,macushiabbott1991[99],1
mak-12,mak,ewɨ,e w ɨ,,maquiritaricaceres2011[167],1
map-13,map,wɨhɨ,w ɨ + h ɨ,,mattei2003pemono[48],1
map-14,map,uhɨ,u + h ɨ,,mattei2003pemono[48],1
pan-15,pan,ju,j u,,panarepayne2013[88],1
pc-one,PC,əwɨ,ə w ɨ,,meira2010origin[489],1
pem-17,pem,juurə,j uu + r ə,,swiggers2010gramatica[120],1
PMan-18,PMan,wɨrə,w ɨ + r ə,,,1
PMan-19,PMan,wɨhɨ,w ɨ + h ɨ,,,1
pno-20,pno,urə,u + r ə,,mattei2003pemono[48],1
pno-21,pno,wɨh,w ɨ + h,,mattei2003pemono[48],1
PPar-22,PPar,owɨ(ro),o w ɨ + r o,,,1
PPek-23,PPek,urə,u + r ə,,,1
PPem-24,PPem,jurə,j u + r ə,,,1
PPP-25,PPP,ju(rə),j u + r ə,,,1
PTar-26,PTar,əwɨ,ə w ɨ,,meira1998proto[64],1
PTir-27,PTir,wɨ,w ɨ,,,1
PWai-28,PWai,owɨ(ro),o w ɨ + r o,,,1
PXin-29,PXin,uro,u + r o,,,1
tam-30,tam,ure,u + r e,,gilij1784saggio[197],1
tri-31,tri,wɨ(ɨ),w ɨɨ,,triomeira1999[152],1
uxc-32,uxc,uɣe,u + ɣ e,,kuikurodossantos2007[55],1
wai-33,wai,owɨ,o w ɨ,,hawkins2015dictionary,1
way-34,way,ɨwu,ɨ w u,,camargo2010wayana[44],1
wmr-35,wmr,awɨ,a w ɨ,,waimiribruno2003[77],1
yab-36,yab,wɨrə,w ɨ + r ə,,mattei2003pemono[49],1
yuk-37,yuk,awɨ(r),a w ɨ + r,,largo2011yukpa[57],1
aka-38,aka,amərə,a m ə + r ə,,akawaiocaesar2003[107],2
aku-39,aku,əmə,ə m ə,,meira1998proto[159],2
apa-40,apa,omoro,o m o + r o,,koehn1986apalai[95],2
ara-41,ara,omoro,o m o + r o,,souza1993arara,2
bak-42,bak,əmə,ə m ə,,meira2005southern[180],2
car-43,car,əmərə,ə m ə + r ə,,guerrero2019carijo[76],2
hix-44,hix,omoro,o m o + r o,,hixkaryanaderby1985[7],2
ikp-45,ikp,omro,o m + r o,,ikpengpacheco2001[119],2
ing-46,ing,amərə,a m ə + r ə,,cruz2005fonologia[162],2
kar-47,kar,amoro,a m o + r o,,courtz2008carib[52],2
kax-48,kax,omoro,o m o + r o,,schuring2018kaxuyana[94],2
mac-49,mac,amɨrɨ,a m ɨ + r ɨ,,macushiabbott1991[99],2
mak-50,mak,amərə,a m ə + r ə,,maquiritaricaceres2011[167],2
map-51,map,(m)ərə,m ə + r ə,,muller1975mapoyo[64],2
pan-52,pan,amən,a m ə + n,,panarepayne2013[88],2
PC-53,PC,əmə(rə),ə m ə + r ə,,meira2002first[271],2
pem-54,pem,amərə,a m ə + r ə,,swiggers2010gramatica[120],2
PMan-55,PMan,mərə,m ə + r ə,,mattei2003pemono[48],2
pno-56,pno,mərə,m ə + r ə,,mattei2003pemono[48],2
PPar-57,PPar,omoro,o m o + r o,,,2
PPek-58,PPek,əmərə,ə m ə + r ə,,,2
PPem-59,PPem,amərə,a m ə + r ə,,,2
PPP-60,PPP,amərə,a m ə + r ə,,,2
PTar-61,PTar,əmə(rə),ə m ə + r ə,Added EMP,meira1998proto[64],2
PTir-62,PTir,əmə,ə m ə,,,2
PTir-63,PTir,əmə,ə m ə,,,2
PWai-64,PWai,omoro,o m o + r o,,,2
PXin-65,PXin,omoro,o m o + r o,,,2
tam-66,tam,amare,a m a + r e,,gilij1781saggio[124],2
tri-67,tri,əmə,ə m ə,,triomeira1999[152],2
uxc-68,uxc,eeɣe,ee + ɣ e,,meira2005southern[180],2
wai-69,wai,amoro,a m o + r o,,hawkins2015dictionary,2
way-70,way,əmərə,ə m ə + r ə,,wayanatavares2005[180],2
wmr-71,wmr,amɨrɨ,a m ɨ + r ɨ,,waimiribruno2003[77],2
yab-72,yab,mərə,m ə + r ə,,mattei2003pemono[49],2
yuk-73,yuk,amo(r),a m o + r,,largo2011yukpa[57],2
aku-74,aku,kɨmə,k ɨ + m ə,,meira1998proto[64],12
apa-75,apa,kɨmoro,k ɨ + m o + r o,,koehn1986apalai[95],12
ara-76,ara,ugoro,u g o + r o,,souza1993arara,12
car-77,car,kɨmərə,k ɨ + m ə + r ə,,guerrero2019carijo[76],12
hix-78,hix,kɨwro,k ɨ + w + r o,,hixkaryanaderby1985[7],12
ikp-79,ikp,ugro,u g + r o,,ikpengpacheco2001[119],12
kar-80,kar,kɨʔko,k ɨ + ʔ k o,Surinamese Kari’ña.,courtz2008carib[52],12
kar-81,kar,kɨmoro,k ɨ + m o + r o,Venezuelan Kari’ña,courtz2008carib[52],12
kax-82,kax,kumoro,k u + m o + r o,,,12
mac-83,mac,uurɨʔkon,uu + r ɨ + ʔ + k o n,,macushiabbott1991[99],12
mak-84,mak,kɨwɨ,k ɨ + w ɨ,,maquiritaricaceres2011[167],12
map-85,map,eʔnə,e ʔ n ə,,mattei2003pemono[48],12
pan-86,pan,juto,j u + t o,,panarepayne2013[88],12
pem-87,pem,juurəto,j uu + r ə + t o,,garcia2006diccionario[64],12
PMan-88,PMan,epɨnə,e p ɨ n ə,,,12
pno-89,pno,eʔnə,e ʔ n ə,,mattei2003pemono[48],12
PPar-90,PPar,kɨ?(ro),k ɨ + + r o,,,12
PPek-91,PPek,ukurə,u k u + r ə,,,12
PPem-92,PPem,jurətokon,j u + r ə + t o + k o n,,,12
PPP-93,PPP,ju(rə)to,j u + r ə + t o,,,12
PTar-94,PTar,kɨmə(rə),k ɨ + m ə + r ə,Added EMP,meira1998proto[64],12
PTir-95,PTir,kɨmə,k ɨ + m ə,,,12
PWai-96,PWai,kɨwɨ(ro),k ɨ + w ɨ + r o,,,12
PXin-97,PXin,ugoro,u g o + r o,,,12
tam-98,tam,kiwe,k i + w e,First vowel is probably ɨ.,meira2002first[258],12
tri-99,tri,kɨmə,k ɨ + m ə,,triomeira1999[152],12
uxc-100,uxc,kukuɣe,k u k u + ɣ e,,kuikurodossantos2007[55],12
wai-101,wai,kɨɨwɨ,k ɨɨ + w ɨ,,,12
way-102,way,kunmə,k u + n + m ə,Potentially from *uku.,wayanatavares2005[180],12
wmr-103,wmr,kɨkɨ,k ɨ k ɨ,,waimiribruno2003[77],12
yab-104,yab,ehnə,e h n ə,,mattei2003pemono[49],12
yuk-105,yuk,epɨ,e p ɨ,,largo2011yukpa[57],12
bak-106,bak,kurə,k u + r ə,,meiraDBbakairi,12; 12pl
aka-107,aka,urəʔnokon,u + r ə + ʔ n o + k o n,,stegeman2014akawaio[97],12pl
aku-108,aku,kɨ(mə)njamo,k ɨ + m ə + n + j a m o,,meira1998proto[64],12pl
apa-109,apa,kɨmarokomo,k ɨ + m a + r o + k o m o,,koehn1986apalai[95],12pl
ara-110,ara,ugoroŋmo,u g o + r o + ŋ m o,,souza1993arara,12pl
car-111,car,kɨɲamoro,k ɨ + ɲ + a m o + r o,,guerrero2019carijo[76],12pl
hix-112,hix,kɨwjamo,k ɨ + w + j a m o,,hixkaryanaderby1985[7],12pl
ikp-113,ikp,ugroŋmo,u g + r o + ŋ m o,,ikpengpacheco2001[119],12pl
ing-114,ing,urəʔnokon,u + r ə + ʔ n o + k o n,,cruz2005fonologia[162],12pl
kar-115,kar,kɨʔkaro(n),k ɨ + ʔ k + a + r o + n,Surinamese Kari’ña. Final /n/ only in eastern Surinamese.,courtz2008carib[52],12pl
kar-116,kar,kɨmojaro,k ɨ + m o + j a + r o,Venezuelan Kari’ña,courtz2008carib[52],12pl
kax-117,kax,kɨmjarɨ,k ɨ + m + j a + r ɨ,,,12pl
mac-118,mac,uurɨʔnɨkon,uu + r ɨ + ʔ n ɨ + k o n,,macushiabbott1991[99],12pl
mak-119,mak,kɨnwanno,k ɨ + n + w a n + n o,,maquiritaricaceres2011[167],12pl
pan-120,pan,jutakon,j u + t a + k o n,,panarepayne2013[88],12pl
pem-121,pem,juurənokon,j uu + r ə + n o + k o n,,garcia2006diccionario[64],12pl
pem-122,pem,juurətokon,j uu + r ə + t o + k o n,,garcia2006diccionario[64],12pl
PPar-123,PPar,kɨ?jamo(ro),k ɨ + + j a m o + r o,,,12pl
PPem-124,PPem,jurəʔnokon,j u + r ə + ʔ n o + k o n,,,12pl
PTar-125,PTar,kɨnjamo,k ɨ + n + j a m o,,meira1998proto[64],12pl
PTir-126,PTir,kɨ(mə)njamo,k ɨ + m ə + n + j a m o,,,12pl
PWai-127,PWai,kɨwjamo,k ɨ + w + j a m o,,,12pl
PXin-128,PXin,ugoroŋmo,u g o + r o + ŋ m o,,,12pl
tam-129,tam,kikemo,k i + k e m o,First vowel is probably ɨ.,meira2002first[258],12pl
tri-130,tri,kɨmənjamo,k ɨ + m ə + n + j a m o,,triomeira1999[152],12pl
uxc-131,uxc,kukuɣeko,k u k u + ɣ e + k o,,kuikurodossantos2007[55],12pl
wai-132,wai,kɨwjam,k ɨ + w + j a m,,,12pl
way-133,way,kunməramkomo,k u + n + m ə + r + a m + k o m o,,wayanatavares2005[180],12pl
aka-134,aka,ina,i n a,,stegeman2014akawaio[61],13
aku-135,aku,anja,a n j a,,meira1998proto[159],13
apa-136,apa,ɨna,ɨ n a,,koehn1986apalai[95],13
ara-137,ara,t͡ʃimna,t͡ʃ i + m n a,,souza1993arara,13
bak-138,bak,ʃina,ʃ i + n a,,meira2005southern[180],13
car-139,car,aɲa,a ɲ a,,guerrero2019carijo[76],13
hix-140,hix,amna,a m n a,,hixkaryanaderby1985[7],13
ikp-141,ikp,t͡ʃimna,t͡ʃ i + m n a,,ikpengpacheco2001[284],13
ing-142,ing,ina,i n a,,cruz2005fonologia[162],13
kar-143,kar,naʔna,n a ʔ n a,,courtz2008carib[53],13
