ID	DOCULECT	CONCEPT	CONCEPTID	IPA	SEGMENTS	COGIDS	ALIGNMENT
0	aka	1	1	urə	u + r ə	1 2	- - u + r ə
1	aku	1	1	wɨ	w ɨ	1	- w ɨ
2	apa	1	1	ɨwɨ	ɨ w ɨ	1	ɨ w ɨ
3	ara	1	1	uro	u + r o	1 2	- - u + r o
4	bak	1	1	urə	u + r ə	1 2	- - u + r ə
5	car	1	1	əwɨ	ə w ɨ	1	ə w ɨ
6	hix	1	1	uro	u + r o	1 2	- - u + r o
7	ikp	1	1	uro	u + r o	1 2	- - u + r o
8	ing	1	1	urə	u + r ə	1 2	- - u + r ə
9	kar	1	1	awu	a w u	1	a w u
10	kax	1	1	owɨ	o w ɨ	1	o w ɨ
11	mac	1	1	uurɨ	uu + r ɨ	1 2	- - uu + r ɨ
12	mak	1	1	ewɨ	e w ɨ	1	e w ɨ
13	map	1	1	wɨhɨ	w ɨ + h ɨ	1 23	- w ɨ + h ɨ
14	map	1	1	uhɨ	u + h ɨ	1 23	- - u + h ɨ
15	pan	1	1	ju	j u	1	- j u
16	PC	1	1	əwɨ(rə)	ə w ɨ + r ə	1 2	ə w ɨ + r ə
17	pem	1	1	juurə	j uu + r ə	1 2	- j uu + r ə
18	PMan	1	1	wɨrə	w ɨ + r ə	1 2	- w ɨ + r ə
19	PMan	1	1	wɨhɨ	w ɨ + h ɨ	1 23	- w ɨ + h ɨ
20	pno	1	1	urə	u + r ə	1 2	- - u + r ə
21	pno	1	1	wɨh	w ɨ + h	1 23	- w ɨ + h -
22	PPar	1	1	owɨ(ro)	o w ɨ + r o	1 2	o w ɨ + r o
23	PPek	1	1	urə	u + r ə	1 2	- - u + r ə
24	PPem	1	1	jurə	j u + r ə	1 2	- j u + r ə
25	PPP	1	1	ju(rə)	j u + r ə	1 2	- j u + r ə
26	PTar	1	1	əwɨ	ə w ɨ	1	ə w ɨ
27	PTir	1	1	wɨ	w ɨ	1	- w ɨ
28	PWai	1	1	owɨ(ro)	o w ɨ + r o	1 2	o w ɨ + r o
29	PXin	1	1	uro	u + r o	1 2	- - u + r o
30	tam	1	1	ure	u + r e	1 2	- - u + r e
31	tri	1	1	wɨ(ɨ)	w ɨɨ	1	- w ɨɨ
32	uxc	1	1	uɣe	u + ɣ e	1 2	- - u + ɣ e
33	wai	1	1	owɨ	o w ɨ	1	o w ɨ
34	way	1	1	ɨwu	ɨ w u	1	ɨ w u
35	wmr	1	1	awɨ	a w ɨ	1	a w ɨ
