"Glottocode","Shorthand","IPA","Orthographic","long","lat","Sampled","Alive","ID","CLLD_Name","Alternative_Names","Todo","Comment","Dialect_Of","ISO"
"apal1257","apalai","Aparai","Apalaí",-54.7457,1.49792,"y","y","apa","Apalai",,,,,"apy"
"trio1238","trio","Tɨrɨjo","Tiriyó",-55.7599,2.53616,"y","y","tri","Trio",,,,,"tri"
"hixk1239","hixka","Hiʃkarʲana","Hixkaryána",-58.80153,-0.16265,"y","y","hix","Hixkaryana",,,,,"hix"
"enap1235","panare","Panare","Panare",-65.8483,6.95035,"y","y","pan","Panare","E'ñapa (Woromaipu)",,,,"pbh"
"macu1259","macushi","Makuʃi","Macushi",-60.2209,4.31861,"y","y","mac","Macushi",,,,,"mbc"
"waim1253","waimiri","Waimiri-Atroari","Waimiri-Atroari",-60.4259,-0.61832,"y","y","wmr","Waimiri-Atroari","yawaperi; crichana?",,,,"atr"
"maqu1238","maqui","Jeʔkwana","Ye'kwana",-64.3877,4.70705,"y","y","mak","Maquiritari","Maquiritari",,,,"mch"
"waiw1244","waiwai","Waiwai","Waiwai",-59.1417,1.50881,"y","y","wai","Waiwai",,,,,"waw"
"waya1269","wayana","Wajana","Wayana",-54.4429,2.77537,"y","y","way","Wayana",,,,,"way"
"gali1262","kalina","Kariʔna","Kari'ña",-56.8323,5.83772,"y","y","kar","Galibi Carib","Galibi",,,,"car"
"ikpe1245","ikpeng","Ikpeŋ","Ikpeng",-53.49553,-11.37822,"y","y","ikp","Ikpeng","Txikão",,,,"txi"
"nucl1656","uxc","Upper Xingu Carib","Upper Xingu Carib",-53.2261,-12.3035,"y","y","uxc","Kuikuro-Kalapalo","Matipui",,,,"kui; mzo"
"para1310","arara","Arara","Arara",-53.0657,-3.71263,"y","y","ara","Para Arara",,,,,"aap"
"inga1250","ingariko","Ingarɨko","Ingarikó",-60.862,6.16277,"n","y","ing","Ingariko","?",,,"kap",
"pemo1248","pemon","Pemon","Pemón",-61.4033,4.97031,"y","y","pem","Pemon",,,,,"aoc"
"kapo1251","kapon","Kaʔpon","Kapón",-60.862,6.16277,"y","y","kap","Akawaio",,,,,"ake; pbc"
