,[lg](PPar),[lg](kax),[lg](hix),[lg](wai)
PROX.ANIM,[wf](PPar-439?nt&no_language),[wf](kax-433?nt&no_language),[wf](hix-430?nt&no_language),[wf](wai-449?nt&no_language)
PROX.ANIM.PL,[wf](PPar-468?nt&no_language),[wf](kax-463?nt&no_language),[wf](hix-458?nt&no_language),[wf](wai-476?nt&no_language)
MED.ANIM,[wf](PPar-360?nt&no_language),[wf](kax-355?nt&no_language),[wf](hix-352?nt&no_language),[wf](wai-367?nt&no_language)
MED.ANIM.PL,[wf](PPar-381?nt&no_language),[wf](kax-376?nt&no_language),[wf](hix-372?nt&no_language),
DIST.ANIM,[wf](PPar-285?nt&no_language),[wf](kax-281?nt&no_language),[wf](hix-danim?nt&no_language),[wf](wai-294?nt&no_language)
DIST.ANIM.PL,[wf](PPar-309?nt&no_language),,[wf](hix-danim-pl?nt&no_language),[wf](wai-317?nt&no_language)
PROX.INAN-1,[wf](PPar-496?nt&no_language),[wf](kax-490?nt&no_language),,
PROX.INAN-2,[wf](PPar-514?nt&no_language),,[wf](hix-508?nt&no_language),[wf](wai-521?nt&no_language)
PROX.INAN.PL,,[wf](kax-531?nt&no_language),,
MED.INAN,[wf](PPar-403?nt&no_language),[wf](kax-396?nt&no_language),[wf](hix-393?nt&no_language),[wf](wai-413?nt&no_language)
MED.INAN.PL,,[wf](kax-420?nt&no_language),,
DIST.INAN,[wf](PPar-332?nt&no_language),[wf](kax-328?nt&no_language),[wf](hix-325?nt&no_language),[wf](wai-338?nt&no_language)
