,[gl](prox.anim),[gl](prox.anim.pl),[gl](med.anim),[gl](med.anim.pl),[gl](dist.anim),[gl](dist.anim.pl)
[lg](PC),[wf](pc-pa?nt&no_language),[wf](pc-pap?nt&no_language),,,[wf](pc-da?nt&no_language),[wf](pc-dap?nt&no_language)
[lg](PPek),[wf](PPek-f-441?nt&no_language),[wf](PPek-f-470?nt&no_language),,,[wf](PPek-f-287?nt&no_language),[wf](PPek-f-311?nt&no_language)
[lg](PTar),[wf](PTar-f-444?nt&no_language),[wf](PTar-f-471?nt&no_language),[wf](PTar-f-364?nt&no_language),[wf](PTar-f-383?nt&no_language),[wf](PTar-f-289?nt&no_language),[wf](PTar-f-312?nt&no_language)
[lg](PPar),[wf](PPar-f-440?nt&no_language),[wf](PPar-f-469?nt&no_language),[wf](PPar-f-361?nt&no_language),[wf](PPar-f-382?nt&no_language),[wf](PPar-f-286?nt&no_language),[wf](PPar-f-310?nt&no_language)
[lg](yab),[wf](yab-f-577?nt&no_language),[wf](yab-f-370?nt&no_language)<br>[wf](yab-f-387?nt&no_language),[wf](yab-f-453?nt&no_language),[wf](yab-f-480?nt&no_language),[wf](yab-f-298?nt&no_language),[wf](yab-f-320?nt&no_language)
[lg](pan),[wf](pan-f-437?nt&no_language),[wf](pan-f-466?nt&no_language),[wf](pan-f-359?nt&no_language),[wf](pan-f-380?nt&no_language),[wf](pan-f-284?nt&no_language),[wf](pan-f-308?nt&no_language)
[lg](PPem),[wf](PPem-f-442?nt&no_language),,[wf](PPem-f-362?nt&no_language),,[wf](PPem-f-288?nt&no_language),
[lg](mak),[wf](mak-f-541?nt&no_language),,[wf](mak-f-358?nt&no_language),[wf](mak-f-379?nt&no_language),[wf](mak-f-283?nt&no_language),[wf](mak-f-307?nt&no_language)
[lg](tam),[wf](tam-f-447?nt&no_language),[wf](tam-f-474?nt&no_language),[wf](tam-f-366?nt&no_language),[wf](tam-f-384?nt&no_language),[wf](tam-f-292?nt&no_language),[wf](tam-f-315?nt&no_language)
[lg](kar),[wf](kar-f-433?nt&no_language),[wf](kar-f-461?nt&no_language)<br>[wf](kar-f-462?nt&no_language)<br>[wf](kar-f-463?nt&no_language),[wf](kar-f-355?nt&no_language),[wf](kar-f-376?nt&no_language),[wf](kar-f-281?nt&no_language),[wf](kar-f-305?nt&no_language)<br>[wf](kar-f-306?nt&no_language)
[lg](way),[wf](way-f-451?nt&no_language)<br>[wf](way-f-452?nt&no_language),[wf](way-f-478?nt&no_language)<br>[wf](way-f-479?nt&no_language),[wf](way-f-369?nt&no_language),[wf](way-f-386?nt&no_language),[wf](way-f-296?nt&no_language),[wf](way-f-319?nt&no_language)
[lg](apa),[wf](apa-f-427?nt&no_language),[wf](apa-f-456?nt&no_language),[wf](apa-f-350?nt&no_language),[wf](apa-f-371?nt&no_language),[wf](apa-f-273?nt&no_language),[wf](apa-f-300?nt&no_language)
[lg](yuk),[wf](yuk-f-454?nt&no_language),[wf](yuk-f-481?nt&no_language),,,[wf](yuk-f-299?nt&no_language),[wf](yuk-f-321?nt&no_language)
[lg](uxc),[wf](uxc-f-449?nt&no_language),[wf](uxc-f-476?nt&no_language),,,[wf](uxc-f-294?nt&no_language),[wf](uxc-f-317?nt&no_language)
[lg](wmr),[wf](wmr-f-572?nt&no_language),,,,[wf](wmr-f-297?nt&no_language),
