,[gl](prox.inan-1),[gl](prox.inan-2),[gl](med.inan),[gl](dist.inan)
[lg](PC),[wf](pc-i1?nt&no_language),[wf](pc-i2?nt&no_language),[wf](pc-mi?nt&no_language),[wf](pc-di?nt&no_language)
[lg](PPek),[wf](PPek-f-498?nt&no_language),[wf](PPek-f-516?nt&no_language),[wf](PPek-f-405?nt&no_language),[wf](PPek-f-334?nt&no_language)
[lg](PTar),[wf](PTar-f-500?nt&no_language),[wf](PTar-f-517?nt&no_language),[wf](PTar-f-408?nt&no_language),[wf](PTar-f-335?nt&no_language)
[lg](PPar),[wf](PPar-f-497?nt&no_language),[wf](PPar-f-515?nt&no_language),[wf](PPar-f-404?nt&no_language),[wf](PPar-f-333?nt&no_language)
[lg](yab),,[wf](yab-f-524?nt&no_language)<br>[wf](yab-f-578?nt&no_language),[wf](yab-f-417?nt&no_language),[wf](yab-f-341?nt&no_language)<br>[wf](yab-f-582?nt&no_language)
[lg](pan),[wf](pan-f-494?nt&no_language),,[wf](pan-f-401?nt&no_language),[wf](pan-f-331?nt&no_language)
[lg](PPem),[wf](PPem-f-499?nt&no_language),,[wf](PPem-f-406?nt&no_language),
[lg](mak),[wf](mak-f-493?nt&no_language),,[wf](mak-f-399?nt&no_language),[wf](mak-f-330?nt&no_language)
[lg](tam),,[wf](tam-f-520?nt&no_language),[wf](tam-f-411?nt&no_language),
[lg](kar),[wf](kar-f-490?nt&no_language),[wf](kar-f-511?nt&no_language),[wf](kar-f-396?nt&no_language),[wf](kar-f-328?nt&no_language)
[lg](way),[wf](way-f-504?nt&no_language),[wf](way-f-523?nt&no_language),[wf](way-f-415?nt&no_language),[wf](way-f-340?nt&no_language)
[lg](apa),[wf](apa-f-485?nt&no_language),[wf](apa-f-506?nt&no_language),[wf](apa-f-390?nt&no_language),[wf](apa-f-322?nt&no_language)
[lg](uxc),[wf](uxc-f-503?nt&no_language),,[wf](uxc-f-413?nt&no_language),
[lg](wmr),,,[wf](wmr-f-416?nt&no_language),[wf](wmr-f-570?nt&no_language)<br>[wf](wmr-f-571?nt&no_language)
