,[lg](PPek),[lg](bak),[lg](ara),[lg](ikp)
PROX.ANIM,[wf](PPek-440?nt&no_language),[wf](bak-428?nt&no_language),[wf](ara-427?nt&no_language),[wf](ikp-431?nt&no_language)
PROX.ANIM.PL,[wf](PPek-469?nt&no_language),[wf](bak-456?nt&no_language),,[wf](ikp-459?nt&no_language)
MED.ANIM,,[wf](bak-350?nt&no_language),,
DIST.ANIM,[wf](PPek-286?nt&no_language),[wf](bak-275?nt&no_language),[wf](ara-273?nt&no_language) / [wf](ara-274?nt&no_language),[wf](ikp-278?nt&no_language)
DIST.ANIM.PL,[wf](PPek-310?nt&no_language),[wf](bak-300?nt&no_language),,[wf](ikp-303?nt&no_language)
PROX.INAN-1,[wf](PPek-497?nt&no_language),[wf](bak-486?nt&no_language),[wf](ara-485?nt&no_language),
PROX.INAN-2,[wf](PPek-515?nt&no_language),,[wf](ara-506?nt&no_language),[wf](ikp-509?nt&no_language)
PROX.INAN.PL,,,[wf](ara-526?nt&no_language),[wf](ikp-527?nt&no_language)
MED.INAN,[wf](PPek-404?nt&no_language),[wf](bak-391?nt&no_language),[wf](ara-390?nt&no_language),
DIST.INAN,[wf](PPek-333?nt&no_language),,[wf](ara-322?nt&no_language) / [wf](ara-323?nt&no_language),[wf](ikp-326?nt&no_language)
DIST.INAN.PL,,,,[wf](ikp-343?nt&no_language)
