,[lg](PPP),[lg](pan),[lg](PPem)
PROX.ANIM,[wf](PPP-442?nt&no_language),[wf](pan-436?nt&no_language),[wf](PPem-577?nt&no_language)
PROX.ANIM.PL,,[wf](pan-465?nt&no_language),
MED.ANIM,[wf](PPP-362?nt&no_language),[wf](pan-358?nt&no_language),[wf](PPem-361?nt&no_language)
MED.ANIM.PL,,[wf](pan-379?nt&no_language),
DIST.ANIM,,[wf](pan-283?nt&no_language),[wf](PPem-287?nt&no_language)
DIST.ANIM.PL,,[wf](pan-307?nt&no_language),
PROX.INAN-1,,[wf](pan-493?nt&no_language),[wf](PPem-498?nt&no_language)
PROX.INAN.PL,,[wf](pan-532?nt&no_language),
MED.INAN,[wf](PPP-406?nt&no_language),[wf](pan-400?nt&no_language),[wf](PPem-405?nt&no_language)
MED.INAN.PL,,[wf](pan-421?nt&no_language),
DIST.INAN,,[wf](pan-330?nt&no_language),
