,[lg](PTar),[lg](car),[lg](tri),[lg](aku)
PROX.ANIM,[wf](PTar-f-444?nt&no_language),[wf](car-f-430?nt&no_language),[wf](tri-f-448?nt&no_language),[wf](aku-f-426?nt&no_language)
PROX.ANIM.PL,[wf](PTar-f-471?nt&no_language),[wf](car-f-458?nt&no_language),[wf](tri-f-475?nt&no_language),[wf](aku-f-455?nt&no_language)
MED.ANIM,[wf](PTar-f-364?nt&no_language),[wf](car-f-352?nt&no_language),[wf](tri-f-367?nt&no_language),[wf](aku-f-349?nt&no_language)
MED.ANIM.PL,[wf](PTar-f-383?nt&no_language),[wf](car-f-372?nt&no_language),[wf](tri-f-385?nt&no_language),
DIST.ANIM,[wf](PTar-f-289?nt&no_language),[wf](car-f-277?nt&no_language),[wf](tri-f-293?nt&no_language),
DIST.ANIM.PL,[wf](PTar-f-312?nt&no_language),[wf](car-f-302?nt&no_language),[wf](tri-f-316?nt&no_language),
PROX.INAN-1,[wf](PTar-f-500?nt&no_language),[wf](car-f-488?nt&no_language),[wf](tri-f-502?nt&no_language),[wf](aku-f-484?nt&no_language)
PROX.INAN-2,[wf](PTar-f-517?nt&no_language),[wf](car-f-508?nt&no_language),[wf](tri-f-521?nt&no_language),[wf](aku-f-505?nt&no_language)
MED.INAN,[wf](PTar-f-408?nt&no_language),[wf](car-f-393?nt&no_language),[wf](tri-f-412?nt&no_language),[wf](aku-f-389?nt&no_language)
DIST.INAN,[wf](PTar-f-335?nt&no_language),[wf](car-f-325?nt&no_language),[wf](tri-f-338?nt&no_language),
