ID,geometry
apa,"POLYGON ((-50.89099367187176 -0.1239610912238277, -55.80531745421324 -1.728749395627346, -56.45070898434288 -0.1315376721420958, -55.18585598373431 2.083316798074499, -55.0268367549844 2.240540270187827, -51.43247670530145 1.37810028008906, -50.89099367187176 -0.1239610912238277))"
tri,"POLYGON ((-55.18585598373431 2.083316798074499, -57.79537834311431 3.170224404022047, -57.8323987669251 3.293456647579838, -55.11849902271154 2.750973414369556, -55.0268367549844 2.240540270187827, -55.18585598373431 2.083316798074499))"
hix,"POLYGON ((-59.85754565802206 0.4904413946111832, -58.17152178067214 -5.591990134615112, -55.80531745421324 -1.728749395627346, -56.45070898434288 -0.1315376721420958, -57.35704267878443 1.006117031267217, -59.85754565802206 0.4904413946111832))"
pan,"POLYGON ((-62.81059552319922 9.990678488202231, -63.28065948558451 7.028157909472335, -65.05235722087149 5.872696214568367, -66.39030120199868 6.225858294388473, -68.79359845186394 9.669996595232023, -68.15053094299508 10.87681534060487, -63.10546874999999 10.14193168613103, -62.81059552319922 9.990678488202231))"
mac,"POLYGON ((-62.29329783500956 1.934675172636944, -62.21313089465067 1.931306103365467, -57.96829978520835 3.579404605817626, -57.92972142384875 3.73865425065075, -58.86099997073887 5.828146685322333, -60.47189605270506 5.2656775133506, -62.29329783500956 1.934675172636944))"
wmr,"POLYGON ((-66.66097829204078 -2.362630098456802, -66.44821660140417 -0.9970910036623024, -62.63605418518721 1.874022346855066, -62.29329783500956 1.934675172636944, -62.21313089465067 1.931306103365467, -59.85754565802206 0.4904413946111832, -58.17152178067214 -5.591990134615112, -58.86469640694646 -7.251000717348613, -62.34252658299066 -9.480854251041599, -62.39906081055815 -9.504291613279941, -64.072265625 -3.688855143147035, -66.66097829204078 -2.362630098456802))"
mak,"POLYGON ((-62.63605418518721 1.874022346855066, -66.44821660140417 -0.9970910036623024, -66.93609381814983 0.08974695208545645, -65.05235722087149 5.872696214568367, -63.28065948558451 7.028157909472335, -63.03547505605222 6.433243915525879, -62.63605418518721 1.874022346855066))"
wai,"POLYGON ((-57.8323987669251 3.293456647579838, -57.96829978520835 3.579404605817626, -62.21313089465067 1.931306103365467, -59.85754565802206 0.4904413946111832, -57.35704267878443 1.006117031267217, -57.79537834311431 3.170224404022047, -57.8323987669251 3.293456647579838))"
way,"POLYGON ((-51.43247670530145 1.37810028008906, -55.0268367549844 2.240540270187827, -55.11849902271154 2.750973414369556, -54.16525297508769 5.464674636652611, -54.11602815333257 5.503305656467623, -52.64648437499999 4.740675384778373, -51.43247670530145 1.37810028008906))"
kar,"POLYGON ((-57.92972142384875 3.73865425065075, -58.86099997073887 5.828146685322333, -58.69612748193455 7.873222985165095, -54.11602815333257 5.503305656467623, -54.16525297508769 5.464674636652611, -57.92972142384875 3.73865425065075))"
ikp,"POLYGON ((-48.46878897284891 -10.45567143850661, -55.2294569653608 -12.3686922334015, -62.34252658299066 -9.480854251041599, -58.86469640694646 -7.251000717348613, -48.0869256064994 -7.852329376416768, -47.72460937499999 -8.841651120809143, -48.46878897284891 -10.45567143850661))"
uxc,"POLYGON ((-50.87458144784968 -15.50928673064392, -55.2294569653608 -12.3686922334015, -48.46878897284891 -10.45567143850661, -49.04296875 -11.6952727330294, -50.87458144784968 -15.50928673064392))"
ara,"POLYGON ((-48.0869256064994 -7.852329376416768, -58.86469640694646 -7.251000717348613, -58.17152178067214 -5.591990134615112, -55.80531745421324 -1.728749395627346, -50.89099367187176 -0.1239610912238277, -49.92187499999999 -2.811371193331129, -48.0869256064994 -7.852329376416768))"
pem,"POLYGON ((-62.63605418518721 1.874022346855066, -63.03547505605222 6.433243915525879, -60.47189605270506 5.2656775133506, -62.29329783500956 1.934675172636944, -62.63605418518721 1.874022346855066))"
kap,"POLYGON ((-63.03547505605222 6.433243915525879, -63.28065948558451 7.028157909472335, -62.81059552319922 9.990678488202231, -58.69612748193455 7.873222985165095, -58.86099997073887 5.828146685322333, -60.47189605270506 5.2656775133506, -63.03547505605222 6.433243915525879))"
yuk,"POLYGON ((-74.52984257150479 10.75073371952326, -69.52297082107627 8.811485308487836, -71.60082058339511 5.574944553417807, -74.68772913402849 5.212578121252336, -74.70703125 5.353521355337335, -74.970703125 10.57422207833281, -74.52984257150479 10.75073371952326))"
car,"POLYGON ((-74.68772913402849 5.212578121252336, -71.60082058339511 5.574944553417807, -68.72468738922964 2.639227081168251, -66.93609381814983 0.08974695208545645, -66.44821660140417 -0.9970910036623024, -66.66097829204078 -2.362630098456802, -74.1796875 1.493971306629324, -74.68772913402849 5.212578121252336))"
bak,"POLYGON ((-62.39906081055815 -9.504291613279941, -62.34252658299066 -9.480854251041599, -55.2294569653608 -12.3686922334015, -50.87458144784968 -15.50928673064392, -50.88867187499999 -15.53837592629205, -54.84374999999999 -16.29905101458181, -60.90820312499999 -14.6048471550539, -62.39906081055815 -9.504291613279941))"
