,Clade,Form,Meaning,Cognateset_ID,Cognates,Source,Comments,Value
0,kap,u+rə,1,1,1+EMP,stegeman2014akawaio[173]; akawaiocaesar2003[106],,u
1,aku,wɨ,1,1,1,meira1998proto[159],,wV
2,apa,ɨwɨ,1,1,1,koehn1986apalai[95],,wV
3,ara,u+ro,1,1,1+EMP,desouza2010arara[87],,u
4,bak,u+rə,1,1,1+EMP,meira2005southern[180],,u
5,car,əwɨ,1,1,1,robayo2000avance[174],,wV
6,hix,u+ro,1,1,1+EMP,hixkaryanaderby1985[7],,u
7,ikp,u+ro,1,1,1+EMP,ikpengpacheco2001[119],,u
8,kap,u+rə,1,1,1+EMP,cruz2005fonologia[162],,u
9,kar,awu,1,1,1,courtz2008carib[52],,wV
10,kax,owɨ,1,1,1,schuring2018kaxuyana[94],,wV
11,mac,uu+rɨ,1,1,1+EMP,macushiabbott1991[99],,u
12,mak,ewɨ,1,1,1,maquiritaricaceres2011[167],,wV
13,map,wɨ+hɨ,1,1,1+hform,mattei2003pemono[48],,wV
14,map,u+hɨ,1,1,1+hform,mattei2003pemono[48],,u
15,pan,ju,1,1,1,panarepayne2013[88],,ju
16,PC,əwɨ,1,1,1,meira2010origin[489],,wV
17,pem,juu+rə,1,1,1+EMP,swiggers2010gramatica[120],,ju
18,PMan,wɨ+rə,1,1,1+EMP,,,wV
19,PMan,wɨ+hɨ,1,1,1+hform,,,wV
20,pno,u+rə,1,1,1+EMP,mattei2003pemono[48],,u
21,pno,wɨ+h,1,1,1+hform,mattei2003pemono[48],,wV
22,PPar,owɨ(+ro),1,1,1+EMP,,,wV
23,PPek,u+rə,1,1,1+EMP,,,u
24,PPem,ju+rə,1,1,1+EMP,,,ju
25,PPP,ju(+rə),1,1,1+EMP,,,ju
26,PTar,əwɨ,1,1,1,meira1998proto[64],,wV
27,PTir,wɨ,1,1,1,,,wV
28,PWai,owɨ(+ro),1,1,1+EMP,,,wV
29,PXin,u+ro,1,1,1+EMP,,,u
30,tam,u+re,1,1,1+EMP,gilij1784saggio[197],,u
31,tri,wɨ(ɨ),1,1,1,triomeira1999[152],,wV
32,uxc,u+ɣe,1,1,1+EMP,kuikurodossantos2007[55],,u
33,wai,owɨ,1,1,1,hawkins2015dictionary,,wV
34,way,ɨwu,1,1,1,camargo2010wayana[44],,wV
35,wmr,awɨ,1,1,1,waimiribruno2003[77],,wV
36,yab,wɨ+rə,1,1,1+EMP,mattei2003pemono[49],,wV
37,yuk,awɨ(+r),1,1,1+EMP,largo2011yukpa[57],,wV
