"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"aku","wɨ",1,1,1,"meira1998proto[159]",
"apa","ɨwɨ",1,1,1,"koehn1986apalai[95]",
"car","əwɨ",1,1,1,"robayo2000avance[174]",
"kar","awu",1,1,1,"courtz2008carib[52]",
"kax","owɨ",1,1,1,"schuring2018kaxuyana[94]",
"mak","ewɨ",1,1,1,"maquiritaricaceres2011[167]",
"pan","ju",1,1,1,"panarepayne2013[88]",
"PTar","əwɨ",1,1,1,"meira1998proto[64]",
"PTir","wɨ(ɨ)",1,1,1,,
"tri","wɨ(ɨ)",1,1,1,"triomeira1999[152]",
"wai","owɨ",1,1,1,"hawkins2015dictionary",
"way","ɨwu",1,1,1,"camargo2010wayana[44]",
"wmr","awɨ",1,1,1,"waimiribruno2003[77]",
"aka","u+rə",1,1,"1+EMP","stegeman2014akawaio[173]; akawaiocaesar2003[106]",
"ara","u+ro",1,1,"1+EMP","desouza2010arara[87]",
"bak","u+rə",1,1,"1+EMP","meira2005southern[180]",
"hix","u+ro",1,1,"1+EMP","hixkaryanaderby1985[7]",
"ikp","u+ro",1,1,"1+EMP","ikpengpacheco2001[119]",
"ing","u+rə",1,1,"1+EMP","cruz2005fonologia[162]",
"mac","uu+rɨ",1,1,"1+EMP","macushiabbott1991[99]",
"PC","əwɨ(+rə)",1,1,"1+EMP",,
"pem","juu+rə",1,1,"1+EMP","swiggers2010gramatica[120]",
"pno","u+rə",1,1,"1+EMP","mattei2003pemono[48]",
"PMan","wɨ+rə",1,1,"1+EMP",,
"PPar","owɨ(+ro)",1,1,"1+EMP",,
"PPek","u+rə",1,1,"1+EMP",,
"PPem","ju+rə",1,1,"1+EMP",,
"PPP","ju(+rə)",1,1,"1+EMP",,
"PWai","owɨ(+ro)",1,1,"1+EMP",,
"tam","u+re",1,1,"1+EMP","gilij1784saggio[197]",
"uxc","u+ɣe",1,1,"1+EMP","kuikurodossantos2007[55]",
"yab","wɨ+rə",1,1,"1+EMP","mattei2003pemono[49]",
"yuk","awɨ(+r)",1,1,"1+EMP","largo2011yukpa[57]",
"map","wɨ+hɨ",1,1,"1+hform","mattei2003pemono[48]",
"map","u+hɨ",1,1,"1+hform","mattei2003pemono[48]",
"pno","wɨ+h",1,1,"1+hform","mattei2003pemono[48]",
"PMan","wɨ+hɨ",1,1,"1+hform",,
"aku","əmə",2,2,2,"meira1998proto[159]",
"bak","əmə",2,2,2,"meira2005southern[180]",
"PTir","əmə",2,2,2,,
